PLAYER,TEAM,POS,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA,AGE,HT,WT,SALARY
Chuck Hayes, SAC/TOR,PF,61,12.3,0.468,16.7,15.8,9.8,10.5,21.8,16.1,10.04,-16.5,-0.5,31,78,250,5958750
Gerald Wallace, BOS,SF,58,24.4,0.543,27.8,18.9,11.9,2.8,14.5,8.5,10.02,-10.2,-0.3,32,79,220,10105855
Andrew Nicholson, ORL,PF,76,15.4,0.489,4.8,9.8,17.3,5.1,19.5,12.3,9.9,-28.1,-0.9,24,81,250,1545840
Harrison Barnes, GS,SF,78,28.3,0.486,12.1,8.8,15.6,3.3,11.9,7.7,9.85,-21.3,-0.7,22,80,210,3049920
Ray McCallum, SAC,PG,45,19.9,0.439,25.1,8.2,17.7,2.2,7.8,5,9.74,-16.9,-0.6,23,75,190,816482
Chase Budinger, MIN,SF,41,18.3,0.505,9.5,7.4,15.7,2.7,12.5,7.5,9.73,-8.6,-0.3,26,79,209,5000000
Robbie Hummel, MIN,SF,53,12.4,0.492,10.6,4.6,11.9,5.7,16.6,11,9.67,-8.1,-0.3,25,80,220,880000
Iman Shumpert, NY,SG,74,26.5,0.48,17.8,10.9,13.5,4.7,14,9.2,9.66,-24.5,-0.8,24,77,220,2616975
Shawne Williams, LAL,SF,36,20.9,0.503,11.9,8.3,11.8,3.6,20.2,11.9,9.51,0,0,28,81,230,1227985
Hollis Thompson, PHI,SG,77,22.6,0.57,13.6,11.2,10.6,4.4,11.2,7.7,9.5,-25.9,-0.9,23,80,206,816482
Alan Anderson, BKN,SF,78,22.7,0.525,11.9,9.1,14.5,2.7,9.1,5.9,9.5,-26.4,-0.9,31,78,220,1276061
Kentavious Caldwell-Pope, DET,SG,80,19.8,0.483,9.7,4.9,13.3,2.5,8.6,5.4,9.46,-24.5,-0.8,21,77,205,2772480
Darrell Arthur, DEN,PF,68,17.1,0.459,11,10.4,17,4.8,14.7,9.8,9.41,-36.3,-1.2,26,81,235,3457149
Francisco Garcia, HOU,SG,55,19.7,0.521,15.9,7.6,12.7,2.3,9.8,6.3,9.37,-18.2,-0.6,33,79,195,0
Toney Douglas, GS/MIA,PG,51,13.2,0.493,22.2,11.1,16.5,3.3,11.8,7.6,9.2,-18.1,-0.6,28,74,195,0
Darius Miller, NO,SF,45,16.1,0.55,17.4,8.9,12.3,1.4,7,4.2,9.06,-15.6,-0.5,24,80,225,915243
Luke Ridnour, MIL/CHA,PG,61,18.7,0.452,30.3,11.4,16.8,2.2,7.6,4.8,9.01,-33.9,-1.1,33,74,175,2750000
Jared Dudley, LAC,SF,74,23.4,0.541,16.4,8.9,12.8,2.4,7.7,5.1,8.91,-41.1,-1.4,29,79,225,4250000
Norris Cole, MIA,PG,82,24.6,0.497,27.4,14,15.2,1.1,8.6,5,8.8,-66,-2.2,25,74,175,2038206
Phil Pressey, BOS,PG,75,15.1,0.39,40.1,14.5,15.6,2,8.8,5.3,8.78,-37.5,-1.2,23,71,175,816482
Elliot Williams, PHI,SG,67,17.3,0.519,13.6,12.8,15.8,2.7,9.7,6.1,8.71,-31,-1,25,77,180,981084
Alonzo Gee, CLE,SF,65,15.7,0.491,13.3,12.4,12.7,3.8,12.8,8.2,8.63,-28.5,-0.9,27,78,225,3000000
Quincy Miller, DEN,SF,52,15.2,0.459,7.3,13.6,16.3,4.9,15.2,10.1,8.62,-22.1,-0.7,21,81,210,915243
Luc Richard Mbah a Moute, MIN/SAC,PF,64,15.7,0.503,12.1,13.4,10.9,6,10.1,8,8.42,-46.2,-1.5,27,80,230,4382576
Tayshaun Prince, MEM,SF,76,25.6,0.438,17.5,6,12.8,1.9,12.3,7.1,8.18,-67.4,-2.2,34,81,215,7707865
Tony Snell, CHI,SG,77,16,0.489,14.6,9.4,14.2,1.8,9.6,5.7,8.02,-45.6,-1.5,22,79,200,1472400
Garrett Temple, WSH,SG,75,8.5,0.431,26.3,15.3,14.3,3.8,8.7,6.2,7.81,-25.6,-0.9,28,78,195,981084
Ben McLemore, SAC,SG,82,26.7,0.485,8.9,10.4,15.8,2.7,9.5,6.1,7.77,-89.2,-3,21,77,195,3026280
Ekpe Udoh, MIL,PF,42,19.1,0.44,13.3,16.3,10.8,8.4,12.8,10.5,7.62,-46.5,-1.6,27,82,245,0
Brandon Davies, PHI,PF,51,11.3,0.476,13.1,16.3,12.9,6.9,13.9,10.2,7.49,-34.4,-1.1,23,82,240,816482
Jason Terry, BKN,SG,35,16.3,0.501,23.2,11.2,14.7,0.8,6.9,3.9,7.48,-25.7,-0.9,36,74,180,5850313
Willie Green, LAC,SG,55,15.8,0.477,13.5,9.2,15.2,1.6,8.2,5,7.13,-43.7,-1.5,33,75,201,1448490
Anthony Bennett, CLE,SF,52,12.8,0.425,5.3,14.7,18.7,8.1,18.4,13.1,6.95,-35.1,-1.2,21,80,259,5563920
Kendrick Perkins, OKC,C,62,19.5,0.474,17.7,23.7,10.9,8.1,19.9,14.3,6.32,-77.1,-2.6,29,82,270,9654342
Jeff Taylor, CHA,SF,26,24.2,0.436,7.7,8.8,17.5,2.7,8.1,5.4,5.97,-42.5,-1.4,25,79,225,915243
Dennis Schroder, ATL,PG,49,13.1,0.442,25.8,16.9,18.6,0.9,9.9,5.4,5.81,-49.7,-1.7,20,73,168,1690680
John Lucas III, UTAH,PG,42,14.1,0.403,16.1,8.4,16.2,2.3,5.4,3.8,5.23,-50.9,-1.7,31,71,166,1600000
